N,S1,S2,relDifer
143201,12.4494,12.4492,1.21593e-05
143301,12.4501,12.4499,9.77516e-06
143401,12.4507,12.4506,7.27177e-06
143501,12.4514,12.4513,5.00679e-06
143601,12.4521,12.452,2.5034e-06
143701,12.4527,12.4527,0
143801,12.4534,12.4534,2.5034e-06
143901,12.4541,12.4541,4.58956e-06
144001,12.4547,12.4548,6.3777e-06
144101,12.4554,12.4555,8.34465e-06
144201,12.4561,12.4562,1.04904e-05
144301,12.4567,12.4569,1.26362e-05
144401,12.4574,12.4576,1.49012e-05
144501,12.4581,12.4583,1.68681e-05
144601,12.4587,12.459,1.85966e-05
144701,12.4594,12.4597,2.06828e-05
144801,12.4601,12.4604,2.26498e-05
144901,12.4607,12.461,2.42591e-05
145001,12.4614,12.4617,2.58684e-05
145101,12.4621,12.4624,2.77758e-05
145201,12.4627,12.4631,2.97427e-05
145301,12.4634,12.4638,3.12328e-05
145401,12.4641,12.4645,3.26037e-05
145501,12.4647,12.4652,3.42727e-05
145601,12.4654,12.4659,3.59416e-05
145701,12.4661,12.4665,3.77893e-05
145801,12.4667,12.4672,3.93391e-05
145901,12.4674,12.4679,4.05908e-05
146001,12.4681,12.4686,4.18425e-05
146101,12.4687,12.4693,4.31538e-05
146201,12.4694,12.47,4.43459e-05
146301,12.4701,12.4707,4.57168e-05
146401,12.4708,12.4713,4.69685e-05
146501,12.4714,12.472,4.84586e-05
146601,12.4721,12.4727,4.98295e-05
146701,12.4728,12.4734,5.10216e-05
146801,12.4734,12.4741,5.19753e-05
146901,12.4741,12.4747,5.26905e-05
147001,12.4748,12.4754,5.36442e-05
147101,12.4754,12.4761,5.47171e-05
147201,12.4761,12.4768,5.57899e-05
147301,12.4768,12.4775,5.68032e-05
147401,12.4774,12.4781,5.76377e-05
147501,12.4781,12.4788,5.87702e-05
147601,12.4788,12.4795,5.96046e-05
147701,12.4794,12.4802,6.01411e-05
147801,12.4801,12.4809,6.09159e-05
147901,12.4808,12.4815,6.1512e-05
148001,12.4814,12.4822,6.2108e-05
148101,12.4821,12.4829,6.26445e-05
148201,12.4828,12.4836,6.33597e-05
148301,12.4834,12.4842,6.4075e-05
148401,12.4841,12.4849,6.46114e-05
148501,12.4848,12.4856,6.51479e-05
148601,12.4854,12.4863,6.56843e-05
148701,12.4861,12.4869,6.59227e-05
148801,12.4868,12.4876,6.60419e-05
148901,12.4874,12.4883,6.634e-05
149001,12.4881,12.4889,6.67572e-05
149101,12.4888,12.4896,6.71148e-05
149201,12.4894,12.4903,6.72936e-05
149301,12.4901,12.491,6.75917e-05
149401,12.4908,12.4916,6.78897e-05
149501,12.4914,12.4923,6.80089e-05
149601,12.4921,12.493,6.79493e-05
149701,12.4928,12.4936,6.77705e-05
149801,12.4934,12.4943,6.78301e-05
149901,12.4941,12.495,6.80089e-05
150001,12.4948,12.4956,6.79493e-05
150101,12.4955,12.4963,6.77705e-05
150201,12.4961,12.497,6.74725e-05
150301,12.4968,12.4976,6.72936e-05
150401,12.4975,12.4983,6.73532e-05
150501,12.4981,12.499,6.7234e-05
150601,12.4988,12.4996,6.68168e-05
150701,12.4995,12.5003,6.65784e-05
150801,12.5001,12.501,6.62804e-05
150901,12.5008,12.5016,6.57439e-05
151001,12.5015,12.5023,6.51479e-05
151101,12.5021,12.5029,6.46114e-05
151201,12.5028,12.5036,6.41346e-05
151301,12.5035,12.5043,6.36578e-05
151401,12.5041,12.5049,6.35386e-05
151501,12.5048,12.5056,6.33597e-05
151601,12.5055,12.5062,6.25849e-05
151701,12.5061,12.5069,6.14524e-05
151801,12.5068,12.5076,6.05583e-05
151901,12.5075,12.5082,5.98431e-05
152001,12.5081,12.5089,5.90682e-05
152101,12.5088,12.5095,5.82337e-05
152201,12.5095,12.5102,5.75781e-05
152301,12.5101,12.5108,5.69224e-05
152401,12.5108,12.5115,5.63264e-05
152501,12.5115,12.5122,5.53131e-05
152601,12.5121,12.5128,5.4121e-05
152701,12.5128,12.5135,5.28097e-05
152801,12.5135,12.5141,5.16772e-05
152901,12.5141,12.5148,5.06639e-05
153001,12.5148,12.5154,4.97699e-05
153101,12.5155,12.5161,4.8697e-05
153201,12.5161,12.5167,4.75645e-05
153301,12.5168,12.5174,4.62532e-05
153401,12.5175,12.518,4.50015e-05
153501,12.5181,12.5187,4.3869e-05
153601,12.5188,12.5193,4.25577e-05
153701,12.5195,12.52,4.11272e-05
153801,12.5202,12.5206,3.96967e-05
153901,12.5208,12.5213,3.8147e-05
154001,12.5215,12.5219,3.67165e-05
154101,12.5222,12.5226,3.54648e-05
154201,12.5228,12.5232,3.37958e-05
154301,12.5235,12.5239,3.20673e-05
154401,12.5242,12.5245,3.06964e-05
154501,12.5248,12.5252,2.93255e-05
154601,12.5255,12.5258,2.79546e-05
154701,12.5262,12.5265,2.60472e-05
154801,12.5268,12.5271,2.40803e-05
154901,12.5275,12.5278,2.22921e-05
155001,12.5282,12.5284,2.06232e-05
155101,12.5288,12.5291,1.86563e-05
155201,12.5295,12.5297,1.68085e-05
155301,12.5302,12.5304,1.508e-05
155401,12.5308,12.531,1.3113e-05
155501,12.5315,12.5316,1.12057e-05
155601,12.5322,12.5323,9.35793e-06
155701,12.5328,12.5329,7.51019e-06
155801,12.5335,12.5336,5.48363e-06
155901,12.5342,12.5342,3.21865e-06
156001,12.5348,12.5349,1.01328e-06
156101,12.5355,12.5355,1.19209e-06
156201,12.5362,12.5361,3.33786e-06
156301,12.5368,12.5368,5.60284e-06
156401,12.5375,12.5374,7.86781e-06
156501,12.5382,12.538,1.01328e-05
156601,12.5388,12.5387,1.20401e-05
156701,12.5395,12.5393,1.40667e-05
156801,12.5402,12.54,1.65701e-05
156901,12.5408,12.5406,1.90735e-05
157001,12.5415,12.5412,2.16961e-05
157101,12.5422,12.5419,2.44379e-05
157201,12.5428,12.5425,2.69413e-05
157301,12.5435,12.5431,2.94447e-05
157401,12.5442,12.5438,3.19481e-05
157501,12.5449,12.5444,3.43323e-05
157601,12.5455,12.5451,3.65973e-05
157701,12.5462,12.5457,3.91006e-05
157801,12.5469,12.5463,4.18425e-05
157901,12.5475,12.547,4.49419e-05
158001,12.5482,12.5476,4.79221e-05
158101,12.5489,12.5482,5.06639e-05
158201,12.5495,12.5489,5.3525e-05
158301,12.5502,12.5495,5.6386e-05
158401,12.5509,12.5501,5.91278e-05
158501,12.5515,12.5508,6.17504e-05
158601,12.5522,12.5514,6.47306e-05
158701,12.5529,12.552,6.78301e-05
158801,12.5535,12.5526,7.08103e-05
158901,12.5542,12.5533,7.36713e-05
159001,12.5549,12.5539,7.689e-05
159101,12.5555,12.5545,8.01086e-05
159201,12.5562,12.5552,8.32081e-05
159301,12.5569,12.5558,8.60691e-05
159401,12.5575,12.5564,8.92878e-05
159501,12.5582,12.557,9.27448e-05
159601,12.5589,12.5577,9.60827e-05
159701,12.5595,12.5583,9.95398e-05
159801,12.5602,12.5589,0.000102639
159901,12.5609,12.5595,0.000105739
160001,12.5615,12.5602,0.000108957
160101,12.5622,12.5608,0.000112414
160201,12.5629,12.5614,0.000115871
160301,12.5635,12.562,0.000119448
160401,12.5642,12.5627,0.000123024
160501,12.5649,12.5633,0.0001266
160601,12.5655,12.5639,0.000130296
160701,12.5662,12.5645,0.000133991
160801,12.5669,12.5652,0.000137568
160901,12.5675,12.5658,0.000141025
161001,12.5682,12.5664,0.000144243
161101,12.5689,12.567,0.000147939
161201,12.5696,12.5676,0.000151634
161301,12.5702,12.5683,0.000155568
161401,12.5708,12.5689,0.000153422
161501,12.5714,12.5695,0.000149965
161601,12.572,12.5701,0.000146031
161701,12.5725,12.5707,0.000142336
161801,12.5731,12.5714,0.00013864
161901,12.5737,12.572,0.000135064
162001,12.5742,12.5726,0.000131488
162101,12.5748,12.5732,0.000127673
162201,12.5754,12.5738,0.000123739
162301,12.576,12.5744,0.000120044
162401,12.5765,12.5751,0.000117064
162501,12.5771,12.5757,0.000113845
162601,12.5777,12.5763,0.000110388
162701,12.5782,12.5769,0.000106931
162801,12.5788,12.5775,0.000103593
162901,12.5794,12.5781,0.000100374
163001,12.58,12.5787,9.70364e-05
163101,12.5805,12.5794,9.36985e-05
163201,12.5811,12.58,9.02414e-05
163301,12.5817,12.5806,8.70228e-05
163401,12.5823,12.5812,8.36849e-05
163501,12.5828,12.5818,8.03471e-05
163601,12.5834,12.5824,7.7486e-05
163701,12.584,12.583,7.47442e-05
163801,12.5845,12.5836,7.18832e-05
163901,12.5851,12.5842,6.87838e-05
164001,12.5857,12.5849,6.56843e-05
164101,12.5863,12.5855,6.24657e-05
164201,12.5868,12.5861,5.96046e-05
164301,12.5874,12.5867,5.67436e-05
164401,12.588,12.5873,5.37634e-05
164501,12.5885,12.5879,5.07832e-05
164601,12.5891,12.5885,4.79221e-05
164701,12.5897,12.5891,4.51803e-05
164801,12.5903,12.5897,4.25577e-05
164901,12.5908,12.5903,4.00543e-05
165001,12.5914,12.5909,3.73125e-05
165101,12.592,12.5915,3.43323e-05
165201,12.5926,12.5922,3.17097e-05
165301,12.5931,12.5928,2.90871e-05
165401,12.5937,12.5934,2.67029e-05
165501,12.5943,12.594,2.43187e-05
165601,12.5948,12.5946,2.16961e-05
165701,12.5954,12.5952,1.90735e-05
165801,12.596,12.5958,1.64509e-05
165901,12.5966,12.5964,1.39475e-05
166001,12.5971,12.597,1.14441e-05
166101,12.5977,12.5976,9.05991e-06
166201,12.5983,12.5982,6.79493e-06
166301,12.5988,12.5988,4.64916e-06
166401,12.5994,12.5994,2.6226e-06
166501,12.6,12.6,3.57628e-07
166601,12.6006,12.6006,1.96695e-06
166701,12.6011,12.6012,4.17233e-06
166801,12.6017,12.6018,6.3777e-06
166901,12.6023,12.6024,8.76188e-06
167001,12.6029,12.603,1.13249e-05
167101,12.6034,12.6036,1.36495e-05
167201,12.604,12.6042,1.5378e-05
167301,12.6046,12.6048,1.71065e-05
167401,12.6051,12.6054,1.87755e-05
167501,12.6057,12.606,2.06828e-05
167601,12.6063,12.6066,2.25902e-05
167701,12.6069,12.6072,2.45571e-05
167801,12.6074,12.6078,2.65241e-05
167901,12.608,12.6084,2.86102e-05
168001,12.6086,12.609,3.0756e-05
168101,12.6091,12.6096,3.26633e-05
168201,12.6097,12.6102,3.45111e-05
168301,12.6103,12.6107,3.61204e-05
168401,12.6109,12.6113,3.76105e-05
168501,12.6114,12.6119,3.91603e-05
168601,12.612,12.6125,4.07696e-05
168701,12.6126,12.6131,4.24385e-05
168801,12.6132,12.6137,4.41074e-05
168901,12.6137,12.6143,4.57168e-05
169001,12.6143,12.6149,4.73261e-05
169101,12.6149,12.6155,4.88162e-05
169201,12.6154,12.6161,5.04851e-05
169301,12.616,12.6167,5.19753e-05
169401,12.6166,12.6173,5.33462e-05
169501,12.6172,12.6178,5.48959e-05
169601,12.6177,12.6184,5.62072e-05
169701,12.6183,12.619,5.75185e-05
169801,12.6189,12.6196,5.88894e-05
169901,12.6194,12.6202,6.00815e-05
170001,12.62,12.6208,6.13332e-05
170101,12.6206,12.6214,6.25849e-05
170201,12.6212,12.622,6.38366e-05
170301,12.6217,12.6226,6.50287e-05
170401,12.6223,12.6231,6.60419e-05
170501,12.6229,12.6237,6.71744e-05
170601,12.6235,12.6243,6.86646e-05
170701,12.624,12.6249,7.00355e-05
170801,12.6246,12.6255,7.11679e-05
170901,12.6252,12.6261,7.18832e-05
171001,12.6257,12.6267,7.26581e-05
171101,12.6263,12.6272,7.35521e-05
171201,12.6269,12.6278,7.46846e-05
171301,12.6275,12.6284,7.57575e-05
171401,12.628,12.629,7.64728e-05
171501,12.6286,12.6296,7.70688e-05
171601,12.6292,12.6302,7.80225e-05
171701,12.6297,12.6307,7.89165e-05
171801,12.6303,12.6313,7.9751e-05
171901,12.6309,12.6319,8.05259e-05
172001,12.6315,12.6325,8.14795e-05
172101,12.632,12.6331,8.2314e-05
172201,12.6326,12.6337,8.29101e-05
172301,12.6332,12.6342,8.35657e-05
172401,12.6338,12.6348,8.39233e-05
172501,12.6343,12.6354,8.44598e-05
172601,12.6349,12.636,8.51154e-05
172701,12.6355,12.6366,8.57115e-05
172801,12.636,12.6371,8.60095e-05
172901,12.6366,12.6377,8.63075e-05
173001,12.6372,12.6383,8.6844e-05
173101,12.6378,12.6389,8.73208e-05
173201,12.6383,12.6394,8.79765e-05
173301,12.6389,12.64,8.88109e-05
173401,12.6395,12.6406,8.95262e-05
173501,12.64,12.6412,8.9705e-05
173601,12.6406,12.6418,8.97646e-05
173701,12.6412,12.6423,8.96454e-05
173801,12.6418,12.6429,8.97646e-05
173901,12.6423,12.6435,8.98838e-05
174001,12.6429,12.644,9.01222e-05
174101,12.6435,12.6446,9.03606e-05
174201,12.6441,12.6452,9.04799e-05
174301,12.6446,12.6458,9.05991e-05
174401,12.6452,12.6463,9.09567e-05
174501,12.6458,12.6469,9.14931e-05
174601,12.6463,12.6475,9.16719e-05
174701,12.6469,12.6481,9.16719e-05
174801,12.6475,12.6486,9.14335e-05
174901,12.6481,12.6492,9.10759e-05
175001,12.6486,12.6498,9.08375e-05
175101,12.6492,12.6503,9.05991e-05
175201,12.6498,12.6509,9.05395e-05
175301,12.6503,12.6515,9.03606e-05
175401,12.6509,12.6521,9.05395e-05
175501,12.6515,12.6526,9.06587e-05
175601,12.6521,12.6532,9.05991e-05
175701,12.6526,12.6538,9.01222e-05
175801,12.6532,12.6543,8.9705e-05
175901,12.6538,12.6549,8.93474e-05
176001,12.6544,12.6555,8.92282e-05
176101,12.6549,12.656,8.89897e-05
176201,12.6555,12.6566,8.86321e-05
176301,12.6561,12.6572,8.79765e-05
176401,12.6566,12.6577,8.73208e-05
176501,12.6572,12.6583,8.70824e-05
176601,12.6578,12.6589,8.6844e-05
176701,12.6584,12.6594,8.64267e-05
176801,12.6589,12.66,8.57115e-05
176901,12.6595,12.6606,8.50558e-05
177001,12.6601,12.6611,8.43406e-05
177101,12.6606,12.6617,8.36253e-05
177201,12.6612,12.6623,8.31485e-05
177301,12.6618,12.6628,8.2612e-05
177401,12.6624,12.6634,8.22544e-05
177501,12.6629,12.664,8.16584e-05
177601,12.6635,12.6645,8.10027e-05
177701,12.6641,12.6651,8.01086e-05
177801,12.6646,12.6657,7.9155e-05
177901,12.6652,12.6662,7.83205e-05
178001,12.6658,12.6668,7.73072e-05
178101,12.6664,12.6673,7.63535e-05
178201,12.6669,12.6679,7.53403e-05
178301,12.6675,12.6685,7.4625e-05
178401,12.6681,12.669,7.37906e-05
178501,12.6687,12.6696,7.29561e-05
178601,12.6692,12.6701,7.21812e-05
178701,12.6698,12.6707,7.13468e-05
178801,12.6704,12.6713,7.04527e-05
178901,12.6709,12.6718,6.93798e-05
179001,12.6715,12.6724,6.84261e-05
179101,12.6721,12.6729,6.71744e-05
179201,12.6727,12.6735,6.57439e-05
179301,12.6732,12.674,6.43134e-05
179401,12.6738,12.6746,6.31213e-05
179501,12.6744,12.6752,6.20484e-05
179601,12.6749,12.6757,6.10352e-05
179701,12.6755,12.6763,5.97835e-05
179801,12.6761,12.6768,5.85318e-05
179901,12.6767,12.6774,5.71609e-05
180001,12.6772,12.6779,5.6088e-05
180101,12.6778,12.6785,5.50151e-05
180201,12.6784,12.6791,5.39422e-05
180301,12.679,12.6796,5.24521e-05
180401,12.6795,12.6802,5.06639e-05
180501,12.6801,12.6807,4.91142e-05
180601,12.6807,12.6813,4.76837e-05
180701,12.6812,12.6818,4.63128e-05
180801,12.6818,12.6824,4.46439e-05
180901,12.6824,12.6829,4.29153e-05
181001,12.683,12.6835,4.1306e-05
181101,12.6835,12.684,3.97563e-05
181201,12.6841,12.6846,3.83258e-05
181301,12.6847,12.6851,3.68953e-05
181401,12.6852,12.6857,3.5584e-05
181501,12.6858,12.6863,3.38554e-05
181601,12.6864,12.6868,3.22461e-05
181701,12.687,12.6874,3.0756e-05
181801,12.6875,12.6879,2.8789e-05
181901,12.6881,12.6884,2.67625e-05
182001,12.6887,12.689,2.46763e-05
182101,12.6893,12.6895,2.28286e-05
182201,12.6898,12.6901,2.10404e-05
182301,12.6904,12.6906,1.90735e-05
182401,12.691,12.6912,1.72853e-05
182501,12.6915,12.6917,1.55568e-05
182601,12.6921,12.6923,1.38283e-05
182701,12.6927,12.6928,1.18017e-05
182801,12.6933,12.6934,9.89437e-06
182901,12.6938,12.6939,8.04663e-06
183001,12.6944,12.6945,6.07967e-06
183101,12.695,12.695,3.99351e-06
183201,12.6955,12.6956,1.78814e-06
183301,12.6961,12.6961,3.57628e-07
183401,12.6967,12.6967,2.6226e-06
183501,12.6973,12.6972,5.00679e-06
183601,12.6978,12.6978,6.91414e-06
183701,12.6984,12.6983,8.82149e-06
183801,12.699,12.6988,1.0848e-05
183901,12.6996,12.6994,1.3113e-05
184001,12.7001,12.6999,1.56164e-05
184101,12.7007,12.7005,1.81198e-05
184201,12.7013,12.701,2.06232e-05
184301,12.7018,12.7016,2.2769e-05
184401,12.7024,12.7021,2.47955e-05
184501,12.703,12.7026,2.70605e-05
184601,12.7036,12.7032,2.93255e-05
184701,12.7041,12.7037,3.19481e-05
184801,12.7047,12.7043,3.42131e-05
184901,12.7053,12.7048,3.65973e-05
185001,12.7058,12.7054,3.89814e-05
185101,12.7064,12.7059,4.17233e-05
185201,12.707,12.7064,4.43459e-05
185301,12.7076,12.707,4.70877e-05
185401,12.7081,12.7075,4.98295e-05
185501,12.7087,12.708,5.25713e-05
185601,12.7093,12.7086,5.51939e-05
185701,12.7099,12.7091,5.76973e-05
185801,12.7104,12.7097,6.04391e-05
185901,12.711,12.7102,6.28233e-05
186001,12.7116,12.7107,6.50883e-05
186101,12.7121,12.7113,6.7234e-05
186201,12.7127,12.7118,6.99759e-05
186301,12.7133,12.7124,7.31945e-05
186401,12.7139,12.7129,7.64132e-05
186501,12.7144,12.7134,7.95126e-05
186601,12.715,12.714,8.24928e-05
186701,12.7156,12.7145,8.53539e-05
186801,12.7161,12.715,8.80957e-05
186901,12.7167,12.7156,9.09567e-05
187001,12.7173,12.7161,9.39369e-05
187101,12.7179,12.7166,9.69172e-05
187201,12.7184,12.7172,9.97782e-05
187301,12.719,12.7177,0.000102639
187401,12.7196,12.7182,0.000105381
187501,12.7202,12.7188,0.000108242
187601,12.7207,12.7193,0.000111103
187701,12.7213,12.7198,0.000114322
187801,12.7219,12.7204,0.00011766
187901,12.7224,12.7209,0.000121117
188001,12.723,12.7214,0.000124454
188101,12.7236,12.722,0.000127792
188201,12.7242,12.7225,0.000130892
188301,12.7247,12.723,0.000133991
188401,12.7253,12.7236,0.000136971
188501,12.7259,12.7241,0.00014019
188601,12.7264,12.7246,0.000143528
188701,12.727,12.7252,0.000146985
188801,12.7276,12.7257,0.000150204
188901,12.7282,12.7262,0.000153422
189001,12.7287,12.7267,0.000156879
189101,12.7293,12.7273,0.000160217
189201,12.7299,12.7278,0.000163436
189301,12.7305,12.7283,0.000166893
189401,12.731,12.7289,0.000170231
189501,12.7316,12.7294,0.000173926
189601,12.7322,12.7299,0.000177622
189701,12.7327,12.7304,0.000181317
189801,12.7333,12.731,0.000184894
189901,12.7339,12.7315,0.000188351
190001,12.7345,12.732,0.000191927
190101,12.735,12.7325,0.000195265
190201,12.7356,12.7331,0.00019896
190301,12.7362,12.7336,0.000202775
190401,12.7367,12.7341,0.000206709
190501,12.7373,12.7346,0.000210285
190601,12.7379,12.7352,0.000213623
190701,12.7384,12.7357,0.000213265
190801,12.7389,12.7362,0.000209332
190901,12.7394,12.7367,0.000205874
191001,12.7398,12.7373,0.000202417
191101,12.7403,12.7378,0.00019896
191201,12.7408,12.7383,0.000195384
191301,12.7413,12.7388,0.000191689
191401,12.7418,12.7394,0.000187993
191501,12.7422,12.7399,0.000184536
191601,12.7427,12.7404,0.000181079
191701,12.7432,12.7409,0.000177503
191801,12.7437,12.7414,0.000173926
191901,12.7441,12.742,0.000170231
192001,12.7446,12.7425,0.000167012
192101,12.7451,12.743,0.000163555
192201,12.7456,12.7435,0.000160098
192301,12.746,12.7441,0.000156522
192401,12.7465,12.7446,0.000153065
192501,12.747,12.7451,0.000149608
192601,12.7475,12.7456,0.00014627
192701,12.748,12.7461,0.000142932
192801,12.7484,12.7466,0.000139713
192901,12.7489,12.7472,0.000136614
193001,12.7494,12.7477,0.000133514
193101,12.7499,12.7482,0.000130296
193201,12.7503,12.7487,0.000127196
193301,12.7508,12.7492,0.000124097
193401,12.7513,12.7497,0.000121117
193501,12.7518,12.7503,0.000117898
193601,12.7522,12.7508,0.000114679
193701,12.7527,12.7513,0.000111461
193801,12.7532,12.7518,0.000108242
193901,12.7537,12.7523,0.000104904
194001,12.7542,12.7529,0.000101566
194101,12.7546,12.7534,9.82285e-05
194201,12.7551,12.7539,9.53674e-05
194301,12.7556,12.7544,9.26256e-05
194401,12.7561,12.7549,9.0003e-05
194501,12.7565,12.7554,8.72612e-05
194601,12.757,12.7559,8.45194e-05
194701,12.7575,12.7564,8.16584e-05
194801,12.758,12.757,7.89165e-05
194901,12.7584,12.7575,7.60555e-05
195001,12.7589,12.758,7.33137e-05
195101,12.7594,12.7585,7.04527e-05
195201,12.7599,12.759,6.74725e-05
195301,12.7604,12.7595,6.4373e-05
195401,12.7608,12.76,6.11544e-05
195501,12.7613,12.7606,5.81741e-05
195601,12.7618,12.7611,5.55515e-05
195701,12.7623,12.7616,5.29289e-05
195801,12.7627,12.7621,5.06639e-05
195901,12.7632,12.7626,4.82798e-05
196001,12.7637,12.7631,4.57764e-05
196101,12.7642,12.7636,4.33922e-05
196201,12.7646,12.7641,4.07696e-05
196301,12.7651,12.7646,3.8147e-05
196401,12.7656,12.7651,3.56436e-05
196501,12.7661,12.7656,3.31402e-05
196601,12.7665,12.7662,3.05176e-05
196701,12.767,12.7667,2.76566e-05
196801,12.7675,12.7672,2.5034e-05
196901,12.768,12.7677,2.26498e-05
197001,12.7685,12.7682,2.0504e-05
197101,12.7689,12.7687,1.81198e-05
197201,12.7694,12.7692,1.54972e-05
197301,12.7699,12.7697,1.3113e-05
197401,12.7704,12.7702,1.07288e-05
197501,12.7708,12.7707,8.58307e-06
197601,12.7713,12.7712,6.4373e-06
197701,12.7718,12.7717,4.29153e-06
197801,12.7723,12.7722,2.14577e-06
197901,12.7727,12.7728,2.38419e-07
198001,12.7732,12.7733,2.74181e-06
198101,12.7737,12.7738,5.06639e-06
198201,12.7742,12.7743,7.21216e-06
198301,12.7747,12.7748,9.35793e-06
198401,12.7751,12.7753,1.12057e-05
198501,12.7756,12.7758,1.3113e-05
198601,12.7761,12.7763,1.508e-05
198701,12.7766,12.7768,1.71065e-05
198801,12.777,12.7773,1.93119e-05
198901,12.7775,12.7778,2.16365e-05
199001,12.778,12.7783,2.39611e-05
199101,12.7785,12.7788,2.61664e-05
199201,12.7789,12.7793,2.81334e-05
199301,12.7794,12.7798,3.016e-05
199401,12.7799,12.7803,3.17693e-05
199501,12.7804,12.7808,3.34978e-05
199601,12.7809,12.7813,3.52859e-05
199701,12.7813,12.7818,3.73125e-05
199801,12.7818,12.7823,3.91603e-05
199901,12.7823,12.7828,4.09484e-05
200001,12.7828,12.7833,4.26173e-05
200101,12.7832,12.7838,4.4167e-05
200201,12.7837,12.7843,4.58956e-05
200301,12.7842,12.7848,4.77433e-05
200401,12.7847,12.7853,4.96507e-05
200501,12.7851,12.7858,5.1558e-05
200601,12.7856,12.7863,5.34654e-05
200701,12.7861,12.7868,5.52535e-05
200801,12.7866,12.7873,5.70416e-05
200901,12.7871,12.7878,5.88894e-05
201001,12.7875,12.7883,6.03795e-05
201101,12.788,12.7888,6.18696e-05
201201,12.7885,12.7893,6.33597e-05
201301,12.789,12.7898,6.45518e-05
201401,12.7894,12.7903,6.59823e-05
201501,12.7899,12.7908,6.73532e-05
201601,12.7904,12.7913,6.88434e-05
201701,12.7909,12.7918,7.05123e-05
201801,12.7913,12.7923,7.22408e-05
201901,12.7918,12.7928,7.37309e-05
202001,12.7923,12.7933,7.4923e-05
202101,12.7928,12.7937,7.61747e-05
202201,12.7933,12.7942,7.73668e-05
202301,12.7937,12.7947,7.88569e-05
202401,12.7942,12.7952,8.05855e-05
202501,12.7947,12.7957,8.22544e-05
202601,12.7952,12.7962,8.39233e-05
202701,12.7956,12.7967,8.53539e-05
202801,12.7961,12.7972,8.63671e-05
202901,12.7966,12.7977,8.72612e-05
203001,12.7971,12.7982,8.82149e-05
203101,12.7975,12.7987,8.9407e-05
203201,12.798,12.7992,9.05991e-05
203301,12.7985,12.7997,9.17315e-05
203401,12.799,12.8002,9.27448e-05
203501,12.7995,12.8007,9.38177e-05
203601,12.7999,12.8011,9.50694e-05
203701,12.8004,12.8016,9.62019e-05
203801,12.8009,12.8021,9.72152e-05
203901,12.8014,12.8026,9.83477e-05
204001,12.8018,12.8031,9.94205e-05
204101,12.8023,12.8036,0.000100791
204201,12.8028,12.8041,0.000101864
204301,12.8033,12.8046,0.000102997
204401,12.8037,12.8051,0.00010407
204501,12.8042,12.8056,0.000105202
204601,12.8047,12.8061,0.000106215
204701,12.8052,12.8065,0.000106931
204801,12.8056,12.807,0.000107408
204901,12.8061,12.8075,0.000107825
205001,12.8066,12.808,0.00010854
205101,12.8071,12.8085,0.000109375
205201,12.8076,12.809,0.000110269
205301,12.808,12.8095,0.000111103
205401,12.8085,12.8099,0.000111997
205501,12.809,12.8104,0.000112951
205601,12.8095,12.8109,0.000113964
205701,12.8099,12.8114,0.000114918
205801,12.8104,12.8119,0.000115514
205901,12.8109,12.8124,0.00011611
206001,12.8114,12.8129,0.000116706
206101,12.8118,12.8134,0.000117362
206201,12.8123,12.8138,0.000118017
206301,12.8128,12.8143,0.000118792
206401,12.8133,12.8148,0.000119448
206501,12.8138,12.8153,0.000119984
206601,12.8142,12.8158,0.000120401
206701,12.8147,12.8163,0.000120759
206801,12.8152,12.8167,0.000121057
206901,12.8157,12.8172,0.000121593
207001,12.8161,12.8177,0.000122249
207101,12.8166,12.8182,0.000122905
207201,12.8171,12.8187,0.000123739
207301,12.8176,12.8192,0.000124097
207401,12.818,12.8196,0.000124335
207501,12.8185,12.8201,0.000124574
207601,12.819,12.8206,0.000124753
207701,12.8195,12.8211,0.000125051
207801,12.82,12.8216,0.000125349
207901,12.8204,12.822,0.000125766
208001,12.8209,12.8225,0.000126302
208101,12.8214,12.823,0.000126719
208201,12.8219,12.8235,0.000127196
208301,12.8223,12.824,0.000127375
208401,12.8228,12.8245,0.000127614
208501,12.8233,12.8249,0.000127971
208601,12.8238,12.8254,0.000128388
208701,12.8242,12.8259,0.000128686
208801,12.8247,12.8264,0.000128567
208901,12.8252,12.8268,0.000128329
209001,12.8257,12.8273,0.000128269
209101,12.8262,12.8278,0.00012815
209201,12.8266,12.8283,0.00012821
209301,12.8271,12.8288,0.00012821
209401,12.8276,12.8292,0.000128329
209501,12.8281,12.8297,0.000128448
209601,12.8285,12.8302,0.000128508
209701,12.829,12.8307,0.000128567
209801,12.8295,12.8311,0.000128806
209901,12.83,12.8316,0.000128925
210001,12.8304,12.8321,0.000129223
210101,12.8309,12.8326,0.000129521
210201,12.8314,12.8331,0.00012958
210301,12.8319,12.8335,0.000129461
210401,12.8324,12.834,0.000128984
210501,12.8328,12.8345,0.000128448
210601,12.8333,12.835,0.00012809
210701,12.8338,12.8354,0.000127792
210801,12.8343,12.8359,0.000127435
210901,12.8347,12.8364,0.000127196
211001,12.8352,12.8368,0.000126898
211101,12.8357,12.8373,0.00012666
211201,12.8362,12.8378,0.000126362
211301,12.8366,12.8383,0.000126183
211401,12.8371,12.8387,0.000126064
211501,12.8376,12.8392,0.000126004
211601,12.8381,12.8397,0.000125766
211701,12.8386,12.8402,0.000125587
211801,12.839,12.8406,0.000125468
211901,12.8395,12.8411,0.00012517
212001,12.84,12.8416,0.000124812
